date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:41:17	5232/5232	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225c1d106f-247b%22	http://jponttuset.cat/robots.txt		(from )
12:41:18	7948/7948	---M--	200	added ('OK')	text/html	etag:%225badd75b-1f0c%22	http://jponttuset.cat/	C:/My%20Web%20Sites/Okan%20Y%c4%b1lmaz/jponttuset.cat/index.html	(from )
12:41:18	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2018%20Feb%202019%2009:41:17%20GMT	http://jponttuset.github.io/images/trees.jpg	C:/My%20Web%20Sites/Okan%20Y%c4%b1lmaz/jponttuset.github.io/images/trees.0.delayed	(from http://jponttuset.cat/)
12:41:19	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2018%20Feb%202019%2009:41:18%20GMT	http://jponttuset.github.io/assets/css/main.min.css	C:/My%20Web%20Sites/Okan%20Y%c4%b1lmaz/jponttuset.github.io/assets/css/main.min.css	(from http://jponttuset.cat/)
12:41:20	13169/13169	---MCZ	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%225badd757-f227%22	http://jponttuset.cat/assets/css/main.min.css	C:/My%20Web%20Sites/Okan%20Y%c4%b1lmaz/jponttuset.cat/assets/css/main.min.css	(from http://jponttuset.cat/)
12:41:20	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2018%20Feb%202019%2009:41:19%20GMT	http://jponttuset.github.io/assets/academicons.css	C:/My%20Web%20Sites/Okan%20Y%c4%b1lmaz/jponttuset.github.io/assets/academicons.css	(from http://jponttuset.cat/)
12:41:21	1673/1673	---MCZ	200	added ('OK')	text/css	etag:W/%225badd757-689%22	http://jponttuset.cat/assets/academicons.css	C:/My%20Web%20Sites/Okan%20Y%c4%b1lmaz/jponttuset.cat/assets/academicons.css	(from http://jponttuset.cat/)
12:41:21	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2018%20Feb%202019%2009:41:20%20GMT	http://jponttuset.github.io/assets/js/vendor/modernizr-2.7.1.custom.min.js	C:/My%20Web%20Sites/Okan%20Y%c4%b1lmaz/jponttuset.github.io/assets/js/vendor/modernizr-2.7.1.custom.min.js	(from http://jponttuset.cat/)
12:41:22	0/-1	---MCZ	200	added ('OK')	application/javascript	etag:W/%225badd757-1a3f%22	http://jponttuset.cat/assets/js/vendor/modernizr-2.7.1.custom.min.js	C:/My%20Web%20Sites/Okan%20Y%c4%b1lmaz/jponttuset.cat/assets/js/vendor/modernizr-2.7.1.custom.min.js	(from http://jponttuset.cat/)
12:41:23	3416/3416	---M--	200	added ('OK')	image/png	etag:%225badd757-d58%22	http://jponttuset.cat/favicon-32x32.png	C:/My%20Web%20Sites/Okan%20Y%c4%b1lmaz/jponttuset.cat/favicon-32x32.png	(from http://jponttuset.cat/)
12:41:24	1752/1752	---M--	200	added ('OK')	image/png	etag:%225badd757-6d8%22	http://jponttuset.cat/favicon-16x16.png	C:/My%20Web%20Sites/Okan%20Y%c4%b1lmaz/jponttuset.cat/favicon-16x16.png	(from http://jponttuset.cat/)
12:41:24	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2018%20Feb%202019%2009:41:23%20GMT	http://jponttuset.github.io/favicon.png	C:/My%20Web%20Sites/Okan%20Y%c4%b1lmaz/jponttuset.github.io/favicon.png	(from http://jponttuset.cat/)
12:41:25	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225c1d106f-247b%22	http://jponttuset.cat/favicon.png	C:/My%20Web%20Sites/Okan%20Y%c4%b1lmaz/jponttuset.cat/favicon.c.delayed	(from http://jponttuset.cat/)
12:41:25	20360/20360	---M--	200	added ('OK')	image/png	etag:%225badd757-4f88%22	http://jponttuset.cat/favicon-96x96.png	C:/My%20Web%20Sites/Okan%20Y%c4%b1lmaz/jponttuset.cat/favicon-96x96.png	(from http://jponttuset.cat/)
12:41:25	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2018%20Feb%202019%2009:41:24%20GMT	http://jponttuset.github.io/images/apple-icon-precomposed.png	C:/My%20Web%20Sites/Okan%20Y%c4%b1lmaz/jponttuset.github.io/images/apple-icon-precomposed.png	(from http://jponttuset.cat/)
12:41:26	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2018%20Feb%202019%2009:41:25%20GMT	http://jponttuset.github.io/images/jordi.png	C:/My%20Web%20Sites/Okan%20Y%c4%b1lmaz/jponttuset.github.io/images/jordi.png	(from http://jponttuset.cat/)
12:41:35	64547/64547	---M--	200	added ('OK')	image/png	etag:%225badd757-fc23%22	http://jponttuset.cat/images/apple-icon-precomposed.png	C:/My%20Web%20Sites/Okan%20Y%c4%b1lmaz/jponttuset.cat/images/apple-icon-precomposed.png	(from http://jponttuset.cat/)
12:41:36	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2018%20Feb%202019%2009:41:35%20GMT	http://jponttuset.github.io/assets/js/vendor/jquery-1.9.1.min.js	C:/My%20Web%20Sites/Okan%20Y%c4%b1lmaz/jponttuset.github.io/assets/js/vendor/jquery-1.9.1.min.12.delayed	(from http://jponttuset.cat/)
12:41:39	78958/78958	---M--	200	added ('OK')	image/png	etag:%225badd757-1346e%22	http://jponttuset.cat/images/jordi.png	C:/My%20Web%20Sites/Okan%20Y%c4%b1lmaz/jponttuset.cat/images/jordi.png	(from http://jponttuset.cat/)
12:41:40	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2018%20Feb%202019%2009:41:39%20GMT	http://jponttuset.github.io/assets/js/scripts.min.js	C:/My%20Web%20Sites/Okan%20Y%c4%b1lmaz/jponttuset.github.io/assets/js/scripts.min.14.delayed	(from http://jponttuset.cat/)
12:41:42	23516/23516	---MCZ	200	added ('OK')	application/javascript	etag:W/%225badd757-5bdc%22	http://jponttuset.cat/assets/js/scripts.min.js	C:/My%20Web%20Sites/Okan%20Y%c4%b1lmaz/jponttuset.cat/assets/js/scripts.min.js	(from http://jponttuset.cat/)
12:41:42	92629/92629	---MCZ	200	added ('OK')	application/javascript	etag:W/%225badd757-169d5%22	http://jponttuset.cat/assets/js/vendor/jquery-1.9.1.min.js	C:/My%20Web%20Sites/Okan%20Y%c4%b1lmaz/jponttuset.cat/assets/js/vendor/jquery-1.9.1.min.js	(from http://jponttuset.cat/)
12:41:42	92629/92629	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.9.1/jquery.min.js	C:/My%20Web%20Sites/Okan%20Y%c4%b1lmaz/ajax.googleapis.com/ajax/libs/jquery/1.9.1/jquery.min.js	(from http://jponttuset.cat/)
12:41:42	1169/1169	---MC-	200	added ('OK')	text/javascript	date:Thu,%2021%20Apr%202016%2003:17:22%20GMT	http://www.google-analytics.com/plugins/ga/inpage_linkid.js	C:/My%20Web%20Sites/Okan%20Y%c4%b1lmaz/www.google-analytics.com/plugins/ga/inpage_linkid.js	(from http://jponttuset.cat/)
12:41:54	541262/541262	---M--	200	added ('OK')	image/jpeg	etag:%225badd757-8424e%22	http://jponttuset.cat/images/trees.jpg	C:/My%20Web%20Sites/Okan%20Y%c4%b1lmaz/jponttuset.cat/images/trees.jpg	(from http://jponttuset.cat/)
12:41:54	0/-1	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225badd757-713c%22	http://jponttuset.cat/assets/fonts/academicons.eot?-evtvm1	C:/My%20Web%20Sites/Okan%20Y%c4%b1lmaz/jponttuset.cat/assets/fonts/academicons2490.eot	(from http://jponttuset.cat/assets/academicons.css)
12:41:55	28988/28988	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225badd757-713c%22	http://jponttuset.cat/assets/fonts/academicons.eot?	C:/My%20Web%20Sites/Okan%20Y%c4%b1lmaz/jponttuset.cat/assets/fonts/academiconsd41d.eot	(from http://jponttuset.cat/assets/academicons.css)
12:41:56	28884/28884	---M--	200	added ('OK')	font/woff	etag:%225badd757-70d4%22	http://jponttuset.cat/assets/fonts/academicons.woff?-evtvm1	C:/My%20Web%20Sites/Okan%20Y%c4%b1lmaz/jponttuset.cat/assets/fonts/academicons2490.woff	(from http://jponttuset.cat/assets/academicons.css)
12:41:57	68381/68381	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225badd757-10b1d%22	http://jponttuset.cat/assets/fonts/academicons.svg?-evtvm1	C:/My%20Web%20Sites/Okan%20Y%c4%b1lmaz/jponttuset.cat/assets/fonts/academicons2490.svg	(from http://jponttuset.cat/assets/academicons.css)
12:41:58	28808/28808	---M--	200	added ('OK')	font/ttf	etag:%225badd757-7088%22	http://jponttuset.cat/assets/fonts/academicons.ttf?-evtvm1	C:/My%20Web%20Sites/Okan%20Y%c4%b1lmaz/jponttuset.cat/assets/fonts/academicons2490.ttf	(from http://jponttuset.cat/assets/academicons.css)
